"gene","trans","speciesMatch","chr","five_prime_UTR","three_prime_UTR","evalue","bitScore","rawValue","percentMatch","other","proteinMatch"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",6.78e-41,172,530,73.585,390,"KQK22076"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",2.18e-120,436,875,76.343,668,"PNT77561"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",1.38e-82,311,332,83.735,278,"PNT77561"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",6.78e-41,172,530,73.585,390,"PNT77561"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",2.18e-120,436,875,76.343,668,"PNT77562"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",1.38e-82,311,332,83.735,278,"PNT77562"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",6.78e-41,172,530,73.585,390,"PNT77562"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",2.18e-120,436,875,76.343,668,"PNT77560"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",1.38e-82,311,332,83.735,278,"PNT77560"
"Zm00001d028803","Zm00001d028803_T002","brachypodium","1","46852702","46858687",6.78e-41,172,530,73.585,390,"PNT77560"
"Zm00001d028803","Zm00001d028803_T001","sorghum","1","46852702","46857481",0,2892,2517,87.803,2210,"EER92402"
"Zm00001d028803","Zm00001d028803_T001","sorghum","1","46852702","46857481",0,953,851,87.074,741,"EER92402"
"Zm00001d028803","Zm00001d028803_T001","sorghum","1","46852702","46857481",0,2892,2517,87.803,2210,"OQU92748"
"Zm00001d028803","Zm00001d028803_T001","sorghum","1","46852702","46857481",0,953,851,87.074,741,"OQU92748"
"Zm00001d028803","Zm00001d028803_T001","setaria","1","46852702","46857481",0,723,813,82.903,674,"KQK91269"
"Zm00001d028803","Zm00001d028803_T001","setaria","1","46852702","46857481",1.18e-147,527,646,82.043,530,"KQK91269"
"Zm00001d028803","Zm00001d028803_T001","rice","1","46852702","46857481",5.66e-126,455,860,76.86,661,"Os03t0298700-01"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",2.05e-120,436,875,76.343,668,"KQK22076"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",3.73e-58,230,333,80.18,267,"KQK22076"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",6.38e-41,172,530,73.585,390,"KQK22076"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",2.05e-120,436,875,76.343,668,"PNT77561"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",3.73e-58,230,333,80.18,267,"PNT77561"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",6.38e-41,172,530,73.585,390,"PNT77561"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",2.05e-120,436,875,76.343,668,"PNT77562"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",3.73e-58,230,333,80.18,267,"PNT77562"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",6.38e-41,172,530,73.585,390,"PNT77562"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",2.05e-120,436,875,76.343,668,"KQK22075"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",3.73e-58,230,333,80.18,267,"KQK22075"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",6.38e-41,172,530,73.585,390,"KQK22075"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",2.05e-120,436,875,76.343,668,"PNT77560"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",3.73e-58,230,333,80.18,267,"PNT77560"
"Zm00001d028803","Zm00001d028803_T001","brachypodium","1","46852702","46857481",6.38e-41,172,530,73.585,390,"PNT77560"
"Zm00001d027450","Zm00001d027450_T004","sorghum","1","5529117","5534982",0,2665,1661,95.725,1590,"KXG40287"
"Zm00001d027450","Zm00001d027450_T004","sorghum","1","5529117","5534982",4.33e-80,302,235,90.638,213,"KXG40287"
"Zm00001d027450","Zm00001d027450_T004","setaria","1","5529117","5534982",0,2272,1661,91.451,1519,"KQK92822"
"Zm00001d027450","Zm00001d027450_T004","sorghum","1","5529117","5534982",0,2257,1428,95.308,1361,"OQU93339"
"Zm00001d027450","Zm00001d027450_T004","sorghum","1","5529117","5534982",2.04e-68,263,187,92.513,173,"OQU93339"
"Zm00001d027450","Zm00001d027450_T004","brachypodium","1","5529117","5534982",0,1655,1671,84.8,1417,"PNT78284"
"Zm00001d027450","Zm00001d027450_T004","rice","1","5529117","5534982",0,1404,1325,85.962,1139,"Os03t0126100-01"
"Zm00001d027450","Zm00001d027450_T004","setaria","1","5529117","5534982",0,1184,1667,79.964,1333,"KQK90186"
"Zm00001d027450","Zm00001d027450_T004","brachypodium","1","5529117","5534982",0,1175,1660,79.759,1324,"KQJ97571"
"Zm00001d027450","Zm00001d027450_T004","sorghum","1","5529117","5534982",0,1122,1648,79.49,1310,"OQU92250"
"Zm00001d027450","Zm00001d027450_T004","rice","1","5529117","5534982",0,1103,1676,78.938,1323,"Os10t0533000-01"
"Zm00001d027450","Zm00001d027450_T004","brachypodium","1","5529117","5534982",0,992,1423,79.621,1133,"KQJ97572"
"Zm00001d027450","Zm00001d027450_T007","sorghum","1","5529124","5534940",0,1751,1083,95.845,1038,"KXG40287"
"Zm00001d027450","Zm00001d027450_T007","sorghum","1","5529124","5534940",0,1670,1040,95.673,995,"OQU93339"
"Zm00001d027450","Zm00001d027450_T007","setaria","1","5529124","5534940",0,1563,1083,92.705,1004,"KQK92822"
"Zm00001d027450","Zm00001d027450_T007","rice","1","5529124","5534940",0,1120,1084,85.517,927,"Os03t0126100-01"
"Zm00001d027450","Zm00001d027450_T007","brachypodium","1","5529124","5534940",0,1064,1085,84.516,917,"PNT78284"
"Zm00001d027450","Zm00001d027450_T007","setaria","1","5529124","5534940",0,704,1104,78.804,870,"KQK90186"
"Zm00001d027450","Zm00001d027450_T007","rice","1","5529124","5534940",1.73e-171,604,1110,76.937,854,"Os10t0533000-01"
"Zm00001d027450","Zm00001d027450_T003","sorghum","1","5529117","5533720",0,2080,1273,96.151,1224,"KXG40287"
"Zm00001d027450","Zm00001d027450_T003","setaria","1","5529117","5533720",0,1803,1273,92.223,1174,"KQK92822"
"Zm00001d027450","Zm00001d027450_T003","sorghum","1","5529117","5533720",0,1670,1040,95.673,995,"OQU93339"
"Zm00001d027450","Zm00001d027450_T003","rice","1","5529117","5533720",0,1354,1280,85.938,1100,"Os03t0126100-01"
"Zm00001d027450","Zm00001d027450_T003","brachypodium","1","5529117","5533720",0,1266,1281,84.621,1084,"PNT78284"
"Zm00001d027450","Zm00001d027450_T003","setaria","1","5529117","5533720",0,813,1286,78.616,1011,"KQK90186"
"Zm00001d027450","Zm00001d027450_T003","rice","1","5529117","5533720",0,750,1291,77.537,1001,"Os10t0533000-01"
"Zm00001d027450","Zm00001d027450_T001","sorghum","1","5528958","5535135",0,3051,1921,95.471,1834,"KXG40287"
"Zm00001d027450","Zm00001d027450_T001","sorghum","1","5528958","5535135",0,2604,1640,95.427,1565,"OQU93339"
"Zm00001d027450","Zm00001d027450_T001","setaria","1","5528958","5535135",0,2566,1874,91.462,1714,"KQK92822"
"Zm00001d027450","Zm00001d027450_T001","brachypodium","1","5528958","5535135",0,1908,1911,84.929,1623,"PNT78284"
"Zm00001d027450","Zm00001d027450_T001","rice","1","5528958","5535135",0,1404,1325,85.962,1139,"Os03t0126100-01"
"Zm00001d027450","Zm00001d027450_T001","setaria","1","5528958","5535135",0,1402,1903,80.399,1530,"KQK90186"
"Zm00001d027450","Zm00001d027450_T001","brachypodium","1","5528958","5535135",0,1356,1875,80,1500,"KQJ97571"
"Zm00001d027450","Zm00001d027450_T001","sorghum","1","5528958","5535135",0,1332,1900,79.842,1517,"OQU92250"
"Zm00001d027450","Zm00001d027450_T001","rice","1","5528958","5535135",0,1301,1915,79.321,1519,"Os10t0533000-01"
"Zm00001d027450","Zm00001d027450_T001","brachypodium","1","5528958","5535135",0,1173,1638,79.915,1309,"KQJ97572"
"Zm00001d027450","Zm00001d027450_T006","sorghum","1","5529124","5532047",0,1223,758,95.778,726,"KXG40287"
"Zm00001d027450","Zm00001d027450_T006","sorghum","1","5529124","5532047",0,1166,731,95.486,698,"OQU93339"
"Zm00001d027450","Zm00001d027450_T006","setaria","1","5529124","5532047",0,1079,758,92.348,700,"KQK92822"
"Zm00001d027450","Zm00001d027450_T002","sorghum","1","5528958","5535135",0,2639,1683,95.128,1601,"KXG40287"
"Zm00001d027450","Zm00001d027450_T002","sorghum","1","5528958","5535135",1.54e-89,333,192,97.917,188,"KXG40287"
"Zm00001d027450","Zm00001d027450_T002","sorghum","1","5528958","5535135",0,2601,1635,95.474,1561,"OQU93339"
"Zm00001d027450","Zm00001d027450_T002","setaria","1","5528958","5535135",0,2259,1636,91.687,1500,"KQK92822"
"Zm00001d027450","Zm00001d027450_T002","brachypodium","1","5528958","5535135",0,1663,1673,84.877,1420,"PNT78284"
"Zm00001d027450","Zm00001d027450_T002","setaria","1","5528958","5535135",0,1256,1664,80.769,1344,"KQK90186"
"Zm00001d027450","Zm00001d027450_T002","sorghum","1","5528958","5535135",0,1201,1687,80.083,1351,"OQU92250"
"Zm00001d027450","Zm00001d027450_T002","brachypodium","1","5528958","5535135",0,1171,1637,79.902,1308,"KQJ97572"
"Zm00001d027450","Zm00001d027450_T002","brachypodium","1","5528958","5535135",0,1171,1637,79.902,1308,"KQJ97571"
"Zm00001d027450","Zm00001d027450_T002","rice","1","5528958","5535135",0,1142,1087,85.833,933,"Os03t0126100-01"
"Zm00001d027450","Zm00001d027450_T002","rice","1","5528958","5535135",3.45e-61,239,192,89.062,171,"Os03t0126100-01"
"Zm00001d027450","Zm00001d027450_T002","rice","1","5528958","5535135",0,1110,1677,79.07,1326,"Os10t0533000-01"
"Zm00001d027450","Zm00001d027450_T005","sorghum","1","5529123","5534182",0,1312,819,95.604,783,"KXG40287"
"Zm00001d027450","Zm00001d027450_T005","sorghum","1","5529123","5534182",0,1254,781,95.647,747,"OQU93339"
"Zm00001d027450","Zm00001d027450_T005","setaria","1","5529123","5534182",0,1168,819,92.43,757,"KQK92822"
"Zm00001d027450","Zm00001d027450_T005","rice","1","5529123","5534182",0,791,826,84.262,696,"Os03t0126100-01"
